,Asin,Title,Rating
52,B000YJCJPG,,4.0
53,B000YPSIDW,,4.0
54,B000Z4CLSA,,5.0
55,B000Z53K7K,,3.0
56,B000ZZSDFE,"Tignanello Pocket Perfection Camera Organizer,Cloud,one size",4.0
57,B0010874RS,,3.0
58,B0010T2UDK,"B. MAKOWSKY Rebel Cross-Body,White,one size",4.0
59,B00112U79A,"New Black Silk Cord Chain Necklace Sterling Silver(Lengths 15&quot;,16&quot;,19&quot;,24&quot;)",1.0
60,B00119UJTG,,4.0
61,B0012BYFUW,,5.0
62,B0012OSSIE,,4.0
63,B0012QM8IS,,4.0
64,B0013CKBV2,"The SAK Malibu Hobo,Black,one size",5.0
65,B0013CKEVE,"The SAK Shine On Convertible Clutch,Taupe,one size",3.0
66,B0013CMVZG,,2.0
67,B0013CN4WU,,3.0
68,B0013TLUZQ,"14k Matte Finish Yellow Gold Bezel Set Pear Shaped Apatite Ring, Size 6",2.0
69,B0013TM2Q2,,5.0
70,B0013TP5V6,14k Matte Finish Yellow Gold Bezel Set Pear Shaped Apatite Pendant,3.0
71,B0013TPE6C,,5.0
72,B0013YMCY4,"Hobo  Bea Wallet,Wasabi,one size",4.0
73,B00142CNWG,,2.0
74,B0015KJ89I,,2.0
75,B0015PE30W,,3.0
76,B0015Q5C9C,,4.0
77,B0015VEDQU,,3.0
78,B00160DLM2,,4.0
79,B00167TVB0,,3.0
80,B001687Z8A,,2.0
81,B00171TN2C,,4.0
82,B00178V2WY,,5.0
83,B00178Z4Y6,,5.0
84,B001792HPO,,3.0
85,B0017Q58KS,,4.0
86,B0018C9VMM,,3.0
87,B0018CDLKA,,3.0
88,B0018P321K,,5.0
89,B0019F38WC,,2.0
90,B001A4DJXU,,2.0
91,B001AQTBYO,,3.0
92,B001AQTFRW,,4.0
93,B001B5CTA2,,3.0
94,B001B6L998,,3.0
95,B001BNNE9Y,Yellow Gold Plated Sterling Silver Green Amethyst with Blue Topaz Accent Oval Earrings,2.0
96,B001BSNDF4,"Sterling Silver Black Pave Crystal Ring by David Sigal, Size 8",4.0
97,B001CD3EDY,Sterling Silver Baguette and Round Cubic Zirconia Hoop Earrings by CW,2.0
98,B001CD3EPW,"Sterling Silver &quot;Mesh&quot; Cubic Zirconia Bracelet, 7&quot;",2.0
99,B001CUV1Z0,,3.0
100,B001D4NN6U,,2.0
101,B001EO5JQ6,,3.0
102,B001I461DC,"18k Yellow Gold Plated Diamond-Accent Necklace, 17&quot;",3.0
103,B001I461GO,"18k Yellow Gold Plated Cubic Zirconia Open Circle Pendant Necklace, 18&quot;",5.0
104,B001IBIVGK,"High Fashion 3 Compartment Shoulder Bag,Black,one size",4.0
105,B001IDZG5C,"Sterling Silver Multi-Gemstone Round Bezel Necklace, 18&quot;",4.0
106,B001KQYC70,,4.0
107,B001MQWZM2,"Purse Insert Organizer, Double-Sided Handbag Organizer - Orange",3.0
108,B001MS78SG,,5.0
109,B001O9CGW6,,2.0
110,B001OQBN6E,,5.0
111,B001SERNDO,,2.0
112,B001TUZE06,"Sterling Silver and Caribbean Amber Rectangular Pendant Necklace , 18&quot;",3.0
113,B001TUZE7E,"Sterling Silver and Cherry Amber Drop Pendant Necklace , 18&quot;",5.0
114,B001U88ADA,Colored Freshwater Cultured A-Quality Pearl (7.5-8 mm) Bracelet,5.0
115,B001WAKQGU,,3.0
116,B001WAKQSI,,4.0
117,B00200K9FO,Sterling Silver 4mm Omega Chain Necklace,5.0
118,B0027CTCHQ,,2.0
119,B0027CTCRQ,,2.0
120,B0027IU28I,,3.0
121,B0028K3LPQ,Platinum Plated Sterling Silver Hoop Earrings,5.0
122,B0028K3LRO,Yellow Gold Plated Sterling Silver Round Prong-Set Cubic Zirconia Double Hoop Earrings,3.0
123,B0028K3NCW,"Platinum Plated Sterling Silver Bezel Set Cubic Zirconia Round Five Stone Ring, Size 7",4.0
124,B0028K3OLC,Platinum Plated Sterling Silver Prong-Set Cubic Zirconia Cuff Bracelet,5.0
125,B0028K3ONA,Platinum Plated Sterling Silver Cubic Zirconia Charm Bangle Bracelet,2.0
126,B0028Y4YXU,"Platinum Plated Sterling Silver &quot;100 Facets Collection&quot; Solitaire Cubic Zirconia Ring with Channel-Set Blue and Purple Cubic Zirconia Accent, Size 7",4.0
127,B002A0VWK0,Silver Kite with Bright Stones Enhancer,5.0
128,B002BA5OFS,Platinum Plated Sterling Silver Cubic Zirconia Baguette Horseshoe Pendant Necklace,5.0
129,B002DMKL6G,"Platinum Plated Sterling Silver Cubic Zirconia Emerald-Cut Three-Stone Ring Red Center Stone, Size 7",2.0
130,B002DYIZ44,Karat Platinum 10.5-11 mm High Luster White Freshwater Cultured Rice Pearl Drop Earrings,3.0
131,B002IYDS50,,2.0
132,B002JCSQG2,,2.0
133,B002JCSQYY,,4.0
134,B002JCSTWI,,2.0
135,B002JCSU4K,,5.0
136,B002JPIX26,"Platinum Plated Sterling Silver Black and White Cubic Zirconia 5-Row Pendant Necklace , 18&quot;",5.0
137,B002JPIX8U,"Platinum Plated Sterling Silver Black and White Round Cubic Zirconia Starburst Ring, Size 5",4.0
138,B002JPIXHQ,Platinum Plated Sterling Silver Black and White Cubic Zirconia Earrings,4.0
139,B002JPIY3O,"Platinum Plated Sterling Silver Dark Pink Cubic Zirconia Round-Cut Center Stone and Cubic Zirconia Side Stones Ring, Size 5",4.0
140,B002JPIY5W,"Platinum Plated Sterling Silver Light Green Cubic Zirconia Oval-Cut Center Stone and Cubic Zirconia Side Stones Ring, Size 5",4.0
141,B002JPIY9S,"Platinum Plated Sterling Silver Purple Opaque Cubic Zirconia Round-Cut Center Stone and Trillion-Cut Cubic Zirconia Side Stones Ring, Size 8",4.0
142,B002JPJ77G,,3.0
143,B002M3TN6K,"Gold Plated Sterling Silver Blue Jade Faceted Barrel Slide Pendant Necklace on Chain, 18&quot;",4.0
144,B002MLT2KY,"Moonsus Deluxe Hobo,Oakwood,one size",5.0
145,B002N5N250,,5.0
146,B002P8MBKM,,5.0
147,B002PHLVDQ,,5.0
148,B002R0E0FM,"Platinum Plated Sterling Silver White Cubic Zirconia Vintage Trefoil Key Pendant Necklace , 16&quot; + 2&quot; E x tender",5.0
149,B002R0E0H0,"Platinum Plated Sterling Silver White Cubic Zirconia Quatrefoil Plain Key Pendant Necklace , 16&quot; + 2&quot; E x tender",4.0
150,B002R5AT4S,Susan Hanover Designs Drop Earrings,2.0
151,B002UD5OM4,,2.0
152,B002UTJG4K,"BLVD Chloe Cross-Body,Black,one size",4.0
153,B002WVLDVU,,2.0
154,B002XZLN56,,4.0
155,B002XZLWNE,,4.0
156,B0031Y64FM,18k Yellow Gold Plated Sterling Silver Diamond-Accent Hoop Earrings (0.4&quot; Diameter),4.0
157,B0032AMVZC,,3.0
158,B0032AMW38,,3.0
159,B0033PRG56,,3.0
160,B0034G6FPG,"Oryany Handbags Lexie Italian Cloque Fabric Tote,Cream,one size",4.0
161,B0036DEDWY,"18k Gold Plated Sterling Silver Filigree Round Floral Pendant Necklace , 18&quot;",4.0
162,B0036OS07W,,4.0
163,B0036OS1RQ,,3.0
164,B0036XNGY0,,5.0
165,B00378LP38,,4.0
166,B0039NN7HI,,5.0
167,B003AQC1YE,,4.0
168,B003AQC3TC,,3.0
169,B003EZC6QY,,4.0
170,B003GSMGIM,,2.0
171,B003NVM6NW,"Perry Ellis Portfolio Mens New Zealand Lambskin Leather Jacket, Black, XX-Large",4.0
172,B003XQWHQI,,4.0
173,B00485TK4U,,4.0
174,B004H0N7P4,"Sterling Silver Open Oval Link Necklace, 16 and 18&quot;",3.0
175,B004IS0NKW,,3.0
176,B004JHS5GG,,4.0
177,B004K6TP42,,3.0
178,B004KJF5SE,"Latico Carrie Cross-Body,Metallic White,one size",2.0
179,B004LM3POQ,,3.0
