,Asin,Title,Sentiment_Score,Count
108,B0000C9W7J,elope Seuss Cat In The Hat,neu,15
109,B0001GOPZ4,Kendal Large Digital Ultrasonic Cleaner for Jewelry Watch DVD with 750ml tank 3818,neu,15
110,B00012K3N6,Instant Sunglasses Large Size Grey,neu,14
111,B0002RBM6W,Clear Rain Coat with Hood,neu,14
112,B0000AOE9X,Jango Fett Blasters &amp; Holster Set,neu,14
113,B00008IOHR,Fantasie Smoothing Full Cup Underwire Bra,neu,14
114,B00018TMDC,Mens 100% Cotton Military T-Shirt,neu,14
115,B00029PL5S,Sherpa-lined Zipper Hooded Sweatshirts,neu,14
116,B00023K6CW,"1mm Nickel Free Sterling Silver Italian Snake Chain Necklace(Lengths 14&quot;,16&quot;,18&quot;,20&quot;,22&quot;,24&quot;,30&quot;,36&quot;)",neu,14
117,B00023S8IQ,Custom LeatherCraft 110 RED Heavy Duty Work Suspenders,neu,14
118,B00024WB24,Voguestrap TX22G3 Allstrap 22mm Black Regular-Length Fits Casio Data Bank Watchband,neu,13
119,B000237CLU,Camouflage T-Shirts,neu,13
120,B0002D8GFG,"Sterling Silver Floating Heart Necklace Flawless Quality, 3/4 x 3/4 inch wide",neu,13
121,B0000TSIKK,DryGuy Thermanator Boot and Shoe Dryer,neu,13
122,B0002MIXYG,Sperry Top-Sider Mens Largo Slip-On Casual Shoes,neu,13
123,B0002MFU3I,Hanes Crewneck Boys T-shirt 3 Pack - 2138,neu,13
124,B00024WB4C,New Ironman Rubber Band,neu,13
125,B0001BUK9O,Maternity Support in Nude: S-M,neu,12
126,B0001LU1GQ,Stylish M - Series Sunglasses - Style 9001,neu,12
127,B00024REYE,Rainkist Umbrellas Bubble,neu,12
128,B0000AX6CM,Portable Scrusher Boot &amp; Shoe Brush [Misc.],neu,12
129,B0000AOEA4,Inflatable Sumo Costume with Battery Operated Fan,neu,12
130,B0001ZMD4A,Stormbreaker Jacket XXXXX-Large Maroon,neu,12
131,B0000867ON,Berkshire All Day Sheer Thigh High - Queen Sizes 1590,neu,12
132,B00025X1LS,Magic Stretch Gloves for Children 3-6 Years,neu,11
133,B0001GZ9YK,"Flat Shoe Laces 45 inch, 54 inch, 63 inch",neu,11
134,B0000C0SCZ,Voguestrap TX1955 Allstrap 19mm Black Long-Length Fits Casio Illuminator Watchband,neu,11
135,9626819502,Womens Lingerie Underwear Colorful C-String Thong Panty,neu,11
136,B00001QHXX,Richard Nixon Mask,neu,11
137,B0000AUYUZ,Stetson Airway Panama Straw Hat,neu,11
138,B0000AX6DH,Replacement Brushes for Scrushers,neu,11
139,B0002FHI4E,Champion Mens Reverse Weave&frac12; Crew Neck Sweatshirt -1PK,neu,11
140,B000158R2M,"Mizuno Breath Thermo Run Glove, Black, Large",neu,11
141,B0001FF80G,Dopp Jumbo Kit w/ Zip Bottom,neu,11
142,B0001N6ADW,Western Pack Pony Series 12&quot; Mini Duffel Bag (Black),neu,10
143,B0002L01YC,Rago Shapewear High Waist Pantie Girdle Style 6101,neu,10
144,B0002V9JAO,Rothco New Grey ARMY T-Shirt,neu,10
145,B00023DCRS,Jobst For Men Firm Support Over-the-Calf Dress Socks,neu,10
146,B00001WRHJ,Toy Story 2: Woody Deluxe Costume - Variation Parent,neu,10
147,B0002QVHCC,Capezio Girls 7-16 Ultra Soft Footed Tight,neu,10
148,B0000C6AZ2,Kipling Hiker Expandable Backpack,neu,10
149,B0002FHIWQ,Hanes Unisex Beefy-T 100% Cotton Long Sleeve T-Shirt,neu,10
150,B00005JHKO,Thomas The Tank Engine Classic,neu,10
151,B0000DZUZ1,"Kiwi Camp Dry Performance Fabric Protector, 10.5 oz",neu,10
152,B00004SR8Y,Lewis N. Clark Deluxe Waist Stash,neu,10
153,B00029P57C,Woodlore Ultra Shoe Tree,neu,10
154,B0000E1VS3,Earring Holder-Clear Acrylic-Holds 37 Pairs! (Clear) (10&quot;W x 3 7/8&quot;D x 4 1/2&quot;H),neu,10
155,B0002CKDLM,Air Force Style Military Flightsuit Coveralls,neu,9
156,B0000B35G6,Duragold 14k White Gold Hoop Earrings (0.85&quot; Diameter),neu,9
157,B00024W9YY,Voguestrap TX1802BK Allstrap 18mm Black Adjustable-Length Casuals Solid Nylon-Black Watchband,neu,9
158,B0000U5BYU,Timex Mens Watch #T53722 (Discontinued by Manufacturer),neu,9
159,B0002SNPDO,Solar Safari Cool Hat,neu,9
160,B0002FZRD8,Fantasie Smoothing Molded Underwire Balcony Bra,neu,9
161,B0002E47IA,Sterling Silver Paper Clip Money Clip 2 3/8 x 5/8 inch,neu,9
162,B0001YRMW4,Dickies Mens 13 Inch Loose Fit Cargo Short,neu,9
163,B00001T38Y,Star Wars Stormtrooper Deluxe Adult Mask,neu,9
164,B0002AAPQM,Earcuff 9DSS Sterling Silver,neu,9
165,B00004U3LH,Tin Man Teen Costume,neu,9
166,B000147UNU,Enell sports bra,neu,9
167,B00023K3V6,"Sterling Silver Celtic Claddagh Puzzle Band Ring(Sizes 6,7,8,9,10,11,12)",neu,9
168,0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,neu,9
169,B0000C31G1,Durabelt Big &amp; Tall Leather Belt,neu,9
170,B00004SR9N,Lewis N. Clark  Replacement Luggage Shoulder Strap Bag,neu,9
171,B00024WB1K,Voguestrap TX2232 Allstrap 22mm Black Regular-Length Fits Casio Sport Watchband,neu,9
172,B0001YJ100,Smoky Mountain Children Mesquite Western Boot,neu,8
173,B0002LIPSQ,Heather Feathertouch Pull-On Pant,neu,8
174,B00022QF3W,Camouflage Pistol Belt - Military Belt / Camo Canvas Belt,neu,8
175,B0002KROFW,Full Cut Rain Coat,neu,8
176,B0001ZT3IY,Rainkist Umbrellas MicroMax,neu,8
177,B0002A6US4,Classic Retro Washed Paratrooper Canvas Shoulder Bag - Unisex,neu,8
178,B00009EPE7,Mike Candy Catcher,neu,8
179,B0001NLS6Q,Kipling Brownie Large Organizer Wallet,neu,8
180,B0000B35GE,Duragold 14k White Gold Hoop Earrings,neu,8
181,B0000535SI,"Huggies Natural Care Baby Wipes, Unscented - 16 ea",neu,8
182,B00007FFL9,PalmBeach Jewelry Open Weave Decorative Band in 14k Gold-Plated,neu,8
183,B0001ZUVAI,Swatch LB153 something new white dial black plastic strap women watch NEW,neu,8
184,B0000UTAM4,Wigwam Ultimax Triathlete Sock 3pk,neu,8
185,B00004SRB3,"Lewis N. Clark Motion Relief Wristbands, Grey",neu,8
186,B0000C3ELM,"Dockers&reg; Flat-front, No Wrinkle Twill Pants KHAKI 36W x 36L",neu,8
187,B0000CNR1H,"Household Essentials Nylon Polyester Garment Bag, Black",neu,8
188,B0000C11OK,Meltonian Boot Cream Polish,neu,7
189,B0002E47K8,"Sterling Silver Huggie Earrings U-Shape Flawless Finish, 7/16 inch",neu,7
190,B00009OXD7,Minnie Mouse Classic - Size: Child M(7-8),neu,7
191,B0001Y3O44,Dominique Seamless Strapless Bra,neu,7
192,B00004U3LE,Wizard Of Oz Glinda Costume,neu,7
193,B0002GSK2C,Tabi Socks,neu,7
194,B0002C81BQ,"Freshwater Cultured Potato Pearl 9.0-10.0mm Necklace, 17&quot;, and 9.0-9.5mm Stud Earring Set",neu,7
195,B00025FROW,"Midweight Solid-Color Tube-sock, ADULT size in 21 colors",neu,7
196,B00001U07U,Wizard Of Oz Dorothy Costume,neu,7
197,B0002AAPW6,Earcuff 9DGF 14K Gold-filled,neu,7
198,B0002QVLIC,Extreme Cold Weather Polypropylene Crew Neck Top,neu,7
199,B000026D6I,Creative Labs Nomad Jukebox (Blue),neu,7
200,B0000DYNCP,"Smartwool Trekking Heavy, Crew beige",neu,7
201,B0000AKON2,"Futuro. Anti-Embolism Stockings, Medium Regular, White, Knee Length, Closed Toe, 1 Pair",neu,7
202,B0002EJ1R2,"Mens Shirt - Uniform Short Sleeve, Navy Blue by Rothco",neu,7
203,B000200JQI,Women&#65533;s Featherweight Jacket ORANGE 5XL,neu,7
204,B0000C6CYX,Kung Fu (Kungfu) Uniform 100% Cotton (Pants Only) -,neu,7
205,B00022F4K2,"Sterling Silver Photo Ball Locket For Six Pictures, 9/16 inch",neu,7
206,B00023DCLY,"Jobst for Men Moderate Support Over-the-Calf Dress Socks Black, Large",neu,7
207,B0001KHMZU,Talking Watch Unisex,neu,7
208,B0002CRIAQ,Travel Accessories Samsonite Leather Passport Case Black,neu,7
209,B0002FHGBO,Authentic Pigment 1941 Pigment-Dyed Cotton Boxy,neu,7
210,B00029R5IE,Voguestrap TX046801 Allstrap 16-20mm Brown Adjustable-Length Fits Fast-Wrap Expedition Watchband,neu,7
211,B0002IBKR2,"Sterling Silver and Crystal Heart Pendant on Satin Cord, 16&quot; by Paris Hilton",neu,7
212,B0000B3DUK,TYR Goggles Case,neu,7
213,B00004SRAJ,"Lewis N. Clark Clothes Line With Suction Cups and Clips, Black",neu,7
214,B00006IAA3,Heritage Catalog Case,neu,7
215,B0000B35GD,"Duragold 14k White Gold Hoop Earrings, (1.18&quot; Diameter)",neu,7
216,B0002QVGAA,G.I. Extreme Cold Weather Polypropylene Bottoms,neu,7
217,B00008IPCG,Berkshire Shimmers Opaque Control Top Tights,neu,7
218,B00023K6G8,"Sterling Silver Celtic Knot Red Garnet Ring(Sizes 4,5,6,7,8,9)",neu,7
219,B0000CDLOS,Dosh Magic Wallet,neu,7
220,B00006I5U9,"Samsonite Oyster 29&quot; Cartwheel, Black",neu,7
221,B00024EZ50,Kids US Navy Type Black Peacoat,neu,7
222,B0000B12HF,Texsport Mosquito Head Net Olive Drab,neu,7
223,B0001VRXGW,SHEMAGH TRADITIONAL DESERT HEADDRESS,neu,7
224,B00029BMDI,Under Armour Cold Gear Mock Turtleneck,neu,6
225,B00023JX7G,2mm Sterling Silver 30&quot; Diamond-Cut Rope Chain Necklace,neu,6
226,B0002NYPYW,Youth 7.8 oz. ComfortBlend&reg; EcoSmart&reg; 50/50 Fleece Crew,neu,6
227,B0000A504H,K-Swiss 501 Classic Tennis Shoe (Little Kid),neu,6
228,B0002FHGDW,Authentic Pigment 11 oz. Pigment-Dyed Fleece Crew - POPPY - S 11 oz.,neu,6
229,B00023JOMU,Italian 2mm Sterling Silver 20&quot; Snake Chain Necklace,neu,6
230,B0001CWM58,"Wrinkle-Resistant Linen Cuffed Pants (RUST, 44 29&quot; INSEAM)",neu,6
231,B0002PT266,Hey Viv! Poodle Skirt Crinoline - Adult Sz,neu,6
232,B0000A50X5,K-Swiss 801 Classic Tennis Shoe (Big Kid),neu,6
233,B0002601XS,"Thread Earrings :: THSS :: Medium Length, Sterling Silver",neu,6
234,B00023JONO,2mm Sterling Silver 20&quot; Diamond-cut Rope Chain Necklace,neu,6
235,B00022RYDM,Russ Athl Perf Crew Sock - M 12 Pr/Pk,neu,6
236,B0002321RK,QT Strapless Convertible Bustier Bra (1100),neu,6
237,B0002PZVSE,Paradise Ukulele Shirt,neu,6
238,B00025FS64,"Midweight Solid-Color Tube-sock, MEDIUM size in 18 colors",neu,6
239,B0000A9Y6O,Kids Padme Amidala Blaster &amp; Holster,neu,6
240,B00020J1L2,Timex Triathlon Digital Heart Rate Monitor Watch,neu,6
241,B0001NLP78,Kipling Ridge Backpack,neu,6
242,B0000B35D5,Duragold 14k Yellow Gold Round Hoop Earrings,neu,6
243,B00024WC64,Voguestrap TX48312BK Allstrap 12mm Black Regular-Length Padded Genuine Calf Watchband,neu,6
244,B0002IBKJ0,Sterling Silver and Crystal Heart Earrings by Paris Hilton,neu,6
245,B0002IPIHK,Lace Comfort Bra,neu,6
246,B0000AZ10I,14k Yellow Gold 7x5mm Oval-Shaped Garnet Stud Earrings,neu,6
247,B0000AZ10F,14k Gold Emerald-Cut Gemstone Studs,neu,6
248,B0002IBKJU,"Sterling Silver, Stainless Steel and Crystal Heart Belly Bar, 1&quot; by Paris Hilton",neu,6
249,B0001XVN8Y,"Hungry Hip Scarves, Economy Midnight Black w/ Silver Coins",neu,6
250,B0001XPC9A,Champion Sports Big Digit Display Stopwatch,neu,6
251,B00028NLRE,Dickies Girls 7-16 Flat Front Pant - School Uniform,neu,6
252,B0001Y8ZHA,Converse Chuck Taylor All Star High Top Sneaker Womens Silver 542438C,neu,6
253,B0000C123Y,Boot Pulls,neu,6
254,B0002M05CE,Carole 3-pk. Anton Briefs 845x,neu,6
255,B0001YR5JE,"Dickies Mens Short Sleeve Blended Polo Shirt, Black, Large",neu,6
256,B0000V9V1I,Skagen White Dial Stainless Steel Mesh Mens Watch 39LSSS,neu,6
257,B0002MSA4O,American Made Apparel Premium Fitted T-Shirt - A - Heather Grey Stripe 20010 M,neu,6
258,B0001ZO2W6,Mansilk Satin Boxer M333,neu,6
259,B00020C1HI,Rothco Genuine USN Wool Watch Cap,neu,6
260,B0001F32UO,Baggallini Luggage Large Zipout Shopping Bag,neu,6
261,B0002X6WPM,Boss Gloves 244LL Large Fingerless Ragg Wool Gloves,neu,6
262,B00001O36V,Deluxe Austin Powers Costume,neu,6
263,B00007DNKW,Gerber Brand 3 Pack White Pullon Short Sleeve Shirt,neu,6
264,B0000864RQ,Individual Bra Extenders,neu,6
265,B00007FCI7,"Eagle Creek Travel Gear Neck Pouch,Tan",neu,6
266,B0002VG2U4,Betula Licensed by Birkenstock Black Suede Clog Size: 41,neu,6
267,5555012322,Top Gear Official Merchandise - Stig Black,neu,6
268,B00006I596,Travel Smart by Conair Neck Security Pouch,neu,6
269,B00007FPNN,PalmBeach Jewelry 2.20 TCW Pear Cut Blue Genuine Topaz Sterling Silver Drop Earrings,neu,6
270,B0000867QZ,Cortland Back Support Bra,neu,6
271,B0002RIKFI,Adjustable Captain Hat-White Flagship,neu,5
272,B00023K8Z2,Horses Sterling Silver Running HORSE Pony Charm Pendant,neu,5
273,B0001FF90A,Samsonite Attache Expandable Leather Attache,neu,5
274,B0000866JI,Rago Pull On Open Girdle,neu,5
275,B0000AWQZC,"2 pairs 40 Gram Thinsulate Insulation Goatskin Leather Work Gloves Brown, BROWN, M",neu,5
276,B0002CSBH0,Metal Zydeco Tie,neu,5
277,B0000ZFJ0G,Berkshire All Day Sheer Knee High - Reinforced Toe,neu,5
278,B0002UFHDS,Misses Alfred Dunner Classics Pull on Pants,neu,5
279,B00001TQ1X,Toto in the Basket,neu,5
280,B00002251L,Occidental Leather 5009 Leather Work Suspenders,neu,5
281,B00024BM6A,Camouflage T-shirt for Kids,neu,5
282,B0001DYW9G,Two Tone Thi Hi W Backseam Costume,neu,5
283,B0001FT2PS,AmeriLeather Leather Money Clip,neu,5
284,B0000AUT23,Outdoor Products Deluxe Duffle,neu,5
285,B0002CKA10,G.I. ECWCS Polypropylene Neck Gaiters / Headband / Earmuffs,neu,5
286,B0002D0IAW,Zildjian Black Baseball Cap (Gold Logo),neu,5
287,B0000AWHAA,China Silk Black Balaclava,neu,5
288,B00024EK0U,U.W.Bra Open-Cup,neu,5
289,B0000Z7KQM,Fossil Analog Blue Degrade Dial Watch,neu,5
290,B0001CNJ9Q,"Timberland Crib Bootie and Hat (Infant/Toddler),Wheat,2 M US Infant",neu,5
291,B0001NLTHE,Kipling Sugar Small Handbag,neu,5
292,B0000C3G7K,Harbor Bay Big &amp; Tall Elastic-Waist Denim Jeans,neu,5
293,B0000E2PC4,Angel Sales ASI7700 Acu Slim Magnetic Earrings,neu,5
294,B00024WASO,Voguestrap TX18G1 Allstrap 18mm Black Regular-Length Fits Casio G-Shock Watchband,neu,5
295,B0001NLSFW,Kipling New Money Deluxe Wallet,neu,5
296,B0000863V8,Aviana Wire-Free,neu,5
297,B0000TSILO,DryGuy DryFast Boot Dryer,neu,5
298,B0000AZ0ZR,14k Yellow Gold 6mm Round-Shaped Peridot Stud Earrings,neu,5
299,B0000DYNJ3,Akona Duffel Gear Bags,neu,5
300,B0002ILRZW,Rubies Harry PotterKit,neu,5
301,B00015VKDK,Blomdahl Crystal Medical Plastic Earrings,neu,5
302,B000291G3E,Floto Luggage Venezia Briefcase,neu,5
303,B0000ZCAG2,Champion Jogbra Action-Shape Sports Bra Womens - Black 36/38 D/DD Bra Size,neu,5
304,B0002QXNB0,Earspiral Earrings 301SSS Sterling Silver,neu,5
305,B00023JPMO,2mm Sterling Silver 22&quot; Diamond-Cut Rope Chain Necklace,neu,5
306,B00020J0ZO,Timex Unisex T40131 Metal Field Expedition Classic Analog Watch,neu,5
307,B0000TIJOA,Timex Ironman T53331 Triathlon 30-Lap Traditional Fullsize Watch,neu,5
308,B0000UTA2E,"Seirus Unisex Stormsock Waterproof Sock Size: L, Color: Black",neu,5
309,B0000AQQX6,Sure Grip Safety Treads,neu,5
310,B0002TPPJK,Single Silver Rose Belly Button Ring,neu,5
311,B00022JRGE,Unisex Metro Fleece Pullover SAGE 3XL,neu,5
312,B00004U3M4,Adult Robin Costume Deluxe - Small,neu,5
313,B0002VANL8,5891 ULTRA FORCE ACU DIGITAL BOONIE HAT,neu,5
314,B0001MBJW0,Assorted Leather Fanny Packs (#7310),neu,5
315,B00009MFA6,Jack Skellington Adult Halloween Costume,neu,5
316,B0002TNEAW,Nirvana - Smiley Soft T-Shirt,neu,5
317,B0002FQCB4,Om Hindu and Celtic Knot Sterling Silver Charm Pendant,neu,5
318,B0000868SW,Dominique Strapless Longline Bra,neu,5
319,B00015GEEU,AmeriLeather Leather Three-suit Garment Bag,neu,5
320,B00029U2IO,"Small 14k Yellow Gold Men/Baby/Children Endless Eternal 12mm (1/2&quot; or 0.5&quot; diameter) Hoop Earrings, Flexible Perfect Fit Design, HYPOALLERGENIC",neu,4
321,B0002LI9ZU,Mundi&reg; Change Purse,neu,4
322,B00007JTZ7,Ear-Grips Ear Warmers [Apparel],neu,4
323,B00023JQ96,Nordic DOLPHIN TRISKILIAN Celtic Knot Pendant Necklace,neu,4
324,B00023K99W,Sterling Silver Islamic Hamsa Hand of Fatima Charm Pendant,neu,4
325,B0002LK9WG,Petite Feathertouch Pull-On Pant,neu,4
326,B00025X21C,Magic Stretch Gloves for Adults,neu,4
327,B0000U0LSQ,Timex Speed + Distance System GPS Watch,neu,4
328,B00026T3VY,Eyewear Retainer Slip Fit Rope in Black,neu,4
329,B00022RGTY,Sterling Silver Multicolor Amber Medium Size Teardrop Ring All Size,neu,4
330,B0001EMLH0,AmeriLeather Cosmopolitan Leather Tote,neu,4
331,B0001N6C6M,Western Pack Pony Series 15&quot; Mini Duffel Bag (Black),neu,4
332,B00023JO9I,Tiny CZ Ear Huggers Sterling Silver Huggie Hoop Earrings,neu,4
333,B000237CCE,Grey Marines Physical Training Tank Top,neu,4
334,B0002SCW7Y,Single Red Rose Belly Button Ring,neu,4
335,B0002VAN2W,Military Urban Street Caps,neu,4
336,B00016PUSU,Sapphire and Diamond Earrings in 14K White Gold,neu,4
